key,value,count,ncount,complete,min,max,sum,sumsq
,,105,,,,,,
Arrest,,105,,1,,,,
,true,26,,1,,,,
,false,79,,1,,,,
Beat,,105,105,1,0111,2535,125897.000000,206172993.000000
,0111,1,,1,,,,
,0112,1,,1,,,,
,0122,2,,1,,,,
,0215,1,,1,,,,
,0222,1,,1,,,,
,0223,1,,1,,,,
,0225,2,,1,,,,
,0312,1,,1,,,,
,0321,1,,1,,,,
,0332,1,,1,,,,
,0334,1,,1,,,,
,0411,1,,1,,,,
,0413,2,,1,,,,
,0414,1,,1,,,,
,0423,1,,1,,,,
,0424,2,,1,,,,
,0431,1,,1,,,,
,0523,2,,1,,,,
,0611,2,,1,,,,
,0612,1,,1,,,,
,0621,2,,1,,,,
,0623,1,,1,,,,
,0631,4,,1,,,,
,0632,1,,1,,,,
,0634,1,,1,,,,
,0725,1,,1,,,,
,0726,1,,1,,,,
,0832,1,,1,,,,
,0833,2,,1,,,,
,0835,3,,1,,,,
,0934,2,,1,,,,
,1021,1,,1,,,,
,1023,1,,1,,,,
,1111,2,,1,,,,
,1114,1,,1,,,,
,1121,1,,1,,,,
,1123,1,,1,,,,
,1124,1,,1,,,,
,1132,2,,1,,,,
,1133,2,,1,,,,
,1134,3,,1,,,,
,1135,3,,1,,,,
,1225,1,,1,,,,
,1231,1,,1,,,,
,1234,1,,1,,,,
,1424,1,,1,,,,
,1511,1,,1,,,,
,1522,1,,1,,,,
,1524,1,,1,,,,
,1624,1,,1,,,,
,1631,1,,1,,,,
,1633,1,,1,,,,
,1712,2,,1,,,,
,1731,1,,1,,,,
,1733,1,,1,,,,
,1822,1,,1,,,,
,1823,1,,1,,,,
,1831,1,,1,,,,
,1834,1,,1,,,,
,1913,1,,1,,,,
,1924,1,,1,,,,
,1925,1,,1,,,,
,2013,5,,1,,,,
,2022,1,,1,,,,
,2031,1,,1,,,,
,2212,1,,1,,,,
,2213,1,,1,,,,
,2233,1,,1,,,,
,2413,2,,1,,,,
,2431,1,,1,,,,
,2511,1,,1,,,,
,2512,1,,1,,,,
,2514,1,,1,,,,
,2522,1,,1,,,,
,2523,1,,1,,,,
,2524,1,,1,,,,
,2533,1,,1,,,,
,2535,1,,1,,,,
Block,,105,,1,,,,
,"094XX S LAFAYETTE AVE",1,,1,,,,
,"079XX S PRAIRIE AVE",1,,1,,,,
,"021XX S OAKLEY AVE",1,,1,,,,
,"001XX S STATE ST",1,,1,,,,
,"080XX S ASHLAND AVE",1,,1,,,,
,"044XX S MICHIGAN AVE",1,,1,,,,
,"059XX N GLENWOOD AVE",3,,1,,,,
,"047XX S LAKE PARK AVE",1,,1,,,,
,"082XX S DOBSON AVE",1,,1,,,,
,"028XX N HAMLIN AVE",1,,1,,,,
,"022XX W NORTH AVE",1,,1,,,,
,"075XX S STONY ISLAND AVE",1,,1,,,,
,"036XX W LEXINGTON ST",1,,1,,,,
,"012XX S WASHTENAW AVE",1,,1,,,,
,"003XX W LOWER WACKER DR",1,,1,,,,
,"063XX W DIVERSEY AVE",1,,1,,,,
,"034XX W OHIO ST",1,,1,,,,
,"089XX S CRANDON AVE",1,,1,,,,
,"082XX S CHAMPLAIN AVE",1,,1,,,,
,"018XX S ST LOUIS AVE",1,,1,,,,
,"030XX W LEXINGTON ST",2,,1,,,,
,"061XX N SEELEY AVE",1,,1,,,,
,"076XX S LOWE AVE",1,,1,,,,
