key,value,count,ncount,complete,min,max,sum,sumsq
,,9,,,,,,
Arrest,,9,,1,,,,
,true,3,,1,,,,
,false,6,,1,,,,
Beat,,9,9,1,0411,2513,13066.000000,24960254.000000
,0411,1,,1,,,,
,0431,1,,1,,,,
,0632,1,,1,,,,
,0821,1,,1,,,,
,1912,2,,1,,,,
,2023,1,,1,,,,
,2411,1,,1,,,,
,2513,1,,1,,,,
Block,,9,,1,,,,
,"075XX S STONY ISLAND AVE",1,,1,,,,
,"054XX N SHERIDAN RD",1,,1,,,,
,"083XX S ELLIS AVE",1,,1,,,,
,"095XX S CONSTANCE AVE",1,,1,,,,
,"029XX W SHERWIN AVE",1,,1,,,,
,"016XX N SAYRE AVE",1,,1,,,,
,"045XX S SPRINGFIELD AVE",1,,1,,,,
,"040XX N ASHLAND AVE",2,,1,,,,
"Case Number",,9,,1,,,,
,HS628367,1,,1,,,,
,HY366803,1,,1,,,,
,HY366875,1,,1,,,,
,HZ240709,1,,1,,,,
,JB166590,1,,1,,,,
,JB170162,1,,1,,,,
,JB175521,1,,1,,,,
,JB176249,1,,1,,,,
,JB240703,1,,1,,,,
"Community Area",,9,9,1,2,77,311.000000,16265.000000
,2,1,,1,,,,
,6,2,,1,,,,
,25,1,,1,,,,
,43,1,,1,,,,
,44,1,,1,,,,
,51,1,,1,,,,
,57,1,,1,,,,
,77,1,,1,,,,
Date,,9,,1,,,,
,"02/06/2017 12:01:00 AM",1,,1,,,,
,"08/03/2015 02:15:00 AM",1,,1,,,,
,"07/07/2008 12:00:00 AM",1,,1,,,,
,"01/01/2016 12:01:00 AM",1,,1,,,,
,"03/06/2013 07:10:00 PM",1,,1,,,,
,"01/01/2017 12:01:00 AM",1,,1,,,,
,"09/28/2010 12:01:00 AM",1,,1,,,,
,"03/23/2016 11:15:00 AM",1,,1,,,,
,"08/02/2015 10:00:00 PM",1,,1,,,,
Description,,9,,1,,,,
,"DOMESTIC BATTERY SIMPLE",1,,1,,,,
,"CRIM SEX ABUSE BY FAM MEMBER",1,,1,,,,
,"FINANCIAL IDENTITY THEFT OVER $ 300",1,,1,,,,
,"FRAUD OR CONFIDENCE GAME",1,,1,,,,
,"NON-AGGRAVATED",2,,1,,,,
,"AGG CRIM SEX ABUSE FAM MEMBER",1,,1,,,,
,"$500 AND UNDER",1,,1,,,,
,"CRIMINAL SEXUAL ABUSE",1,,1,,,,
District,,9,9,1,004,025,129.000000,2455.000000
,004,2,,1,,,,
,006,1,,1,,,,
,008,1,,1,,,,
,019,2,,1,,,,
,020,1,,1,,,,
,024,1,,1,,,,
,025,1,,1,,,,
Domestic,,9,,1,,,,
,true,3,,1,,,,
,false,6,,1,,,,
"FBI Code",,9,8,1,02,20,86.000000,1264.000000
,02,2,,1,,,,
,06,1,,1,,,,
,11,2,,1,,,,
,17,2,,1,,,,
,20,1,,1,,,,
,08B,1,,1,,,,
ID,,9,9,1,7818024,11297898,94968463.000000,1012366380073201.000000
,7818024,1,,1,,,,
,10178509,1,,1,,,,
,10179103,1,,1,,,,
,10499807,1,,1,,,,
,11248354,1,,1,,,,
,11248826,1,,1,,,,
,11248969,1,,1,,,,
,11248973,1,,1,,,,
,11297898,1,,1,,,,
IUCR,,9,9,1,0281,1752,9217.000000,12251301.000000
,0281,2,,1,,,,
,0486,1,,1,,,,
,0820,1,,1,,,,
,1130,1,,1,,,,
,1153,1,,1,,,,
,1563,1,,1,,,,
,1751,1,,1,,,,
,1752,1,,1,,,,
Latitude,,3,3,1,41.757630995,42.014713892,125.583183,5257.082108
,"41.757630995",1,,1,,,,
,"41.810838053",1,,1,,,,
,"42.014713892",1,,1,,,,
Location,,3,,1,,,,
,"(42.014713892, -87.703226398)",1,,1,,,,
,"(41.810838053, -87.721247194)",1,,1,,,,
,"(41.757630995, -87.585708249)",1,,1,,,,
"Location Description",,8,,1,,,,
,OTHER,1,,1,,,,
,APARTMENT,2,,1,,,,
,RESIDENCE,3,,1,,,,
,"RESIDENTIAL YARD (FRONT/BACK)",1,,1,,,,
,"HOSPITAL BUILDING/GROUNDS",1,,1,,,,
Longitude,,3,3,1,-87.721247194,-87.585708249,-263.010182,23058.129419
,"-87.585708249",1,,1,,,,
,"-87.703226398",1,,1,,,,
,"-87.721247194",1,,1,,,,
"Primary Type",,9,,1,,,,
,THEFT,1,,1,,,,
,BATTERY,1,,1,,,,
,"CRIM SEXUAL ASSAULT",2,,1,,,,
,"OFFENSE INVOLVING CHILDREN",2,,1,,,,
,"DECEPTIVE PRACTICE",2,,1,,,,
,"SEX OFFENSE",1,,1,,,,
"Updated On",,9,,1,,,,
,"03/07/2018 04:15:21 PM",3,,1,,,,
,"09/13/2016 03:53:25 PM",1,,1,,,,
,"02/10/2018 03:50:01 PM",3,,1,,,,
,"10/16/2018 04:03:51 PM",1,,1,,,,
,"06/03/2019 04:14:23 PM",1,,1,,,,
Ward,,9,9,1,7,50,265.000000,10891.000000
,7,1,,1,,,,
,8,2,,1,,,,
