key,time,count
,0C9V6TR0000000,600
Arrest,0C9V6TR0000000,600
Beat,0C9V6TR0000000,600
Block,0C9V6TR0000000,600
Case Number,0C9V6TR0000000,600
Community Area,0C9V6TR0000000,600
Date,0C9V6TR0000000,600
Description,0C9V6TR0000000,600
District,0C9V6TR0000000,600
Domestic,0C9V6TR0000000,600
FBI Code,0C9V6TR0000000,600
ID,0C9V6TR0000000,600
IUCR,0C9V6TR0000000,600
Latitude,0C9V6TR0000000,287
Location,0C9V6TR0000000,287
Location Description,0C9V6TR0000000,564
Longitude,0C9V6TR0000000,287
Primary Type,0C9V6TR0000000,600
Updated On,0C9V6TR0000000,600
Ward,0C9V6TR0000000,600
X Coordinate,0C9V6TR0000000,287
Y Coordinate,0C9V6TR0000000,287
Year,0C9V6TR0000000,600
date_hour,0C9V6TR0000000,600
date_mday,0C9V6TR0000000,600
date_minute,0C9V6TR0000000,600
date_month,0C9V6TR0000000,600
date_second,0C9V6TR0000000,600
date_wday,0C9V6TR0000000,600
date_year,0C9V6TR0000000,600
date_zone,0C9V6TR0000000,600
host,0C9V6TR0000000,600
linecount,0C9V6TR0000000,600
punct,0C9V6TR0000000,600
source,0C9V6TR0000000,600
sourcetype,0C9V6TR0000000,600
timeendpos,0C9V6TR0000000,600
timestartpos,0C9V6TR0000000,600
,0CA1OLF0000000,395
Arrest,0CA1OLF0000000,395
Beat,0CA1OLF0000000,395
Block,0CA1OLF0000000,395
Case Number,0CA1OLF0000000,395
Community Area,0CA1OLF0000000,394
Date,0CA1OLF0000000,395
Description,0CA1OLF0000000,395
District,0CA1OLF0000000,395
Domestic,0CA1OLF0000000,395
FBI Code,0CA1OLF0000000,395
ID,0CA1OLF0000000,395
IUCR,0CA1OLF0000000,395
Latitude,0CA1OLF0000000,200
Location,0CA1OLF0000000,200
Location Description,0CA1OLF0000000,368
Longitude,0CA1OLF0000000,200
Primary Type,0CA1OLF0000000,395
Updated On,0CA1OLF0000000,395
Ward,0CA1OLF0000000,394
X Coordinate,0CA1OLF0000000,200
Y Coordinate,0CA1OLF0000000,200
Year,0CA1OLF0000000,395
date_hour,0CA1OLF0000000,395
date_mday,0CA1OLF0000000,395
date_minute,0CA1OLF0000000,395
date_month,0CA1OLF0000000,395
date_second,0CA1OLF0000000,395
date_wday,0CA1OLF0000000,395
date_year,0CA1OLF0000000,395
date_zone,0CA1OLF0000000,395
host,0CA1OLF0000000,395
linecount,0CA1OLF0000000,395
punct,0CA1OLF0000000,395
source,0CA1OLF0000000,395
sourcetype,0CA1OLF0000000,395
timeendpos,0CA1OLF0000000,395
timestartpos,0CA1OLF0000000,395
,0CA4AD30000000,709
Arrest,0CA4AD30000000,709
Beat,0CA4AD30000000,709
Block,0CA4AD30000000,709
Case Number,0CA4AD30000000,709
Community Area,0CA4AD30000000,703
Date,0CA4AD30000000,709
Description,0CA4AD30000000,709
District,0CA4AD30000000,709
Domestic,0CA4AD30000000,709
FBI Code,0CA4AD30000000,709
ID,0CA4AD30000000,709
IUCR,0CA4AD30000000,709
Latitude,0CA4AD30000000,441
Location,0CA4AD30000000,441
Location Description,0CA4AD30000000,672
Longitude,0CA4AD30000000,441
Primary Type,0CA4AD30000000,709
Updated On,0CA4AD30000000,709
Ward,0CA4AD30000000,703
X Coordinate,0CA4AD30000000,441
Y Coordinate,0CA4AD30000000,441
Year,0CA4AD30000000,709
date_hour,0CA4AD30000000,709
date_mday,0CA4AD30000000,709
date_minute,0CA4AD30000000,709
date_month,0CA4AD30000000,709
date_second,0CA4AD30000000,709
date_wday,0CA4AD30000000,709
date_year,0CA4AD30000000,709
date_zone,0CA4AD30000000,709
host,0CA4AD30000000,709
linecount,0CA4AD30000000,709
punct,0CA4AD30000000,709
source,0CA4AD30000000,709
sourcetype,0CA4AD30000000,709
timeendpos,0CA4AD30000000,709
timestartpos,0CA4AD30000000,709
,0CA6MRV0000000,868
Arrest,0CA6MRV0000000,868
Beat,0CA6MRV0000000,868
Block,0CA6MRV0000000,868
Case Number,0CA6MRV0000000,868
Community Area,0CA6MRV0000000,864
Date,0CA6MRV0000000,868
Description,0CA6MRV0000000,868
District,0CA6MRV0000000,868
Domestic,0CA6MRV0000000,868
FBI Code,0CA6MRV0000000,868
ID,0CA6MRV0000000,868
IUCR,0CA6MRV0000000,868
Latitude,0CA6MRV0000000,599
Location,0CA6MRV0000000,599
Location Description,0CA6MRV0000000,843
Longitude,0CA6MRV0000000,599
Primary Type,0CA6MRV0000000,868
Updated On,0CA6MRV0000000,868
Ward,0CA6MRV0000000,864
X Coordinate,0CA6MRV0000000,599
Y Coordinate,0CA6MRV0000000,599
Year,0CA6MRV0000000,868
date_hour,0CA6MRV0000000,868
date_mday,0CA6MRV0000000,868
date_minute,0CA6MRV0000000,868
date_month,0CA6MRV0000000,868
date_second,0CA6MRV0000000,868
date_wday,0CA6MRV0000000,868
date_year,0CA6MRV0000000,868
date_zone,0CA6MRV0000000,868
host,0CA6MRV0000000,868
linecount,0CA6MRV0000000,868
punct,0CA6MRV0000000,868
source,0CA6MRV0000000,868
sourcetype,0CA6MRV0000000,868
timeendpos,0CA6MRV0000000,868
timestartpos,0CA6MRV0000000,868
,0CA98G2G000000,37
Arrest,0CA98G2G000000,37
Beat,0CA98G2G000000,37
Block,0CA98G2G000000,37
Case Number,0CA98G2G000000,37
Community Area,0CA98G2G000000,36
Date,0CA98G2G000000,37
Description,0CA98G2G000000,37
District,0CA98G2G000000,37
Domestic,0CA98G2G000000,37
FBI Code,0CA98G2G000000,37
ID,0CA98G2G000000,37
IUCR,0CA98G2G000000,37
Latitude,0CA98G2G000000,31
Location,0CA98G2G000000,31
Location Description,0CA98G2G000000,37
Longitude,0CA98G2G000000,31
Primary Type,0CA98G2G000000,37
Updated On,0CA98G2G000000,37
Ward,0CA98G2G000000,36
X Coordinate,0CA98G2G000000,31
Y Coordinate,0CA98G2G000000,31
Year,0CA98G2G000000,37
date_hour,0CA98G2G000000,37
date_mday,0CA98G2G000000,37
date_minute,0CA98G2G000000,37
date_month,0CA98G2G000000,37
date_second,0CA98G2G000000,37
date_wday,0CA98G2G000000,37
date_year,0CA98G2G000000,37
date_zone,0CA98G2G000000,37
host,0CA98G2G000000,37
linecount,0CA98G2G000000,37
punct,0CA98G2G000000,37
source,0CA98G2G000000,37
sourcetype,0CA98G2G000000,37
timeendpos,0CA98G2G000000,37
timestartpos,0CA98G2G000000,37
,0CABNJAG000000,128
Arrest,0CABNJAG000000,128
Beat,0CABNJAG000000,128
Block,0CABNJAG000000,128
Case Number,0CABNJAG000000,128
Community Area,0CABNJAG000000,126
Date,0CABNJAG000000,128
Description,0CABNJAG000000,128
District,0CABNJAG000000,128
Domestic,0CABNJAG000000,128
FBI Code,0CABNJAG000000,128
ID,0CABNJAG000000,128
IUCR,0CABNJAG000000,128
Latitude,0CABNJAG000000,109
Location,0CABNJAG000000,109
Location Description,0CABNJAG000000,126
Longitude,0CABNJAG000000,109
Primary Type,0CABNJAG000000,128
Updated On,0CABNJAG000000,128
Ward,0CABNJAG000000,125
X Coordinate,0CABNJAG000000,109
Y Coordinate,0CABNJAG000000,109
Year,0CABNJAG000000,128
date_hour,0CABNJAG000000,128
date_mday,0CABNJAG000000,128
date_minute,0CABNJAG000000,128
date_month,0CABNJAG000000,128
