sid,search,"splunk_server","_time","is_realtime",provenance,"event_count","exec_time","result_count","scan_count",status,"total_run_time","api_et","search_et","api_lt","search_lt","api_index_et","api_index_lt","savedsearch_name","adhoc_search_level","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_search_et","__mv_api_lt","__mv_search_lt","__mv_api_index_et","__mv_api_index_lt","__mv_savedsearch_name","__mv_adhoc_search_level"
"admin__admin__search__search1_1751178807.709","search source=""tutorialdata.zip:*"" clientip=*","BEER-PC01","1751178807.675857",0,"UI:Dashboard:tutorialdata",79064,1751178809,40532,219728,completed,"5.652",,,,,"1833029933770.955","1833029933770.955",search1,,,,,,,,,,,,,,,,,,,,,
"1751267425.810","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase
| transaction JSESSIONID,itemId mvlist=true maxspan=10s endswith=""success.do""
 | eval x=[search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase
    | transaction JSESSIONID,itemId mvlist=true maxspan=10s endswith=""success.do""
    | eval catId=mvfilter(categoryId!=""NULL"")
    | top 1 catId
    | table catId
    | rename catId as categoryId
    | return $categoryId]","BEER-PC01","1751267425.184267",0,"UI:Search",4308,1751267425,2138,11474,completed,"5.558",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"rt_md_1751267469.811","| metadata type=sourcetypes | search totalCount > 0","BEER-PC01","1751267469.077763",1,"UI:Search",0,1751267469,0,0,failed,"33.692",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__search__search3_1751267472.813","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie  
| stats dc(itemId) as numItems
| eval countUnpurchesed=numItems-[search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200
    | stats dc(itemId) as numPurchesed
    |  return $numPurchesed] 
|  table countUnpurchesed","BEER-PC01","1751267472.975837",0,"UI:Dashboard:tutorialdata",79064,1751267474,1,79064,completed,"3.658",,,,,"1833029933770.955","1833029933770.955",search3,,,,,,,,,,,,,,,,,,,,,
"admin__admin__search__search9_1751267473.819","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase status=200
| transaction JSESSIONID,itemId mvlist=true maxspan=10s endswith=""success.do"" maxevents=2
| search 
    [search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase status=200
    | transaction JSESSIONID,itemId mvlist=true maxspan=10s endswith=""success.do""
    | eval catId=mvfilter(categoryId!=""NULL"")
    | top 1 catId
    | table catId
    | rename catId as categoryId]
| eval prodId=mvfilter(productId!=""NULL"")
| rename prodId as productId
| top 5 productId
| lookup prices.csv productId","BEER-PC01","1751267473.217218",0,"UI:Dashboard:tutorialdata",1338,1751267475,4,10460,completed,"1.999",,,,,"1833029933770.955","1833029933770.955",search9,,,,,,,,,,,,,,,,,,,,,
"rt_md_1751267585.827","| metadata type=sourcetypes | search totalCount > 0","BEER-PC01","1751267585.379752",1,"UI:Search",0,1751267585,0,0,failed,"32.405",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"admin__admin__search__search2_1751267589.828","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie action=purchase uri_path=""/cart/success.do"" status=200 
| stats first(req_time) first(itemId) first(other) as price by clientip","BEER-PC01","1751267589.567401",0,"UI:Dashboard:tutorialdata",4308,1751267591,182,4308,canceled,"0.862",,,,,"1833029933770.955","1833029933770.955",search2,,,,,,,,,,,,,,,,,,,,,
"admin__admin__search__search14_1751267590.840","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie
| top 1 clientip by date_wday
| eval dayIndex=case(date_wday==""sunday"",1,date_wday==""monday"",2,date_wday==""tuesday"",3,date_wday==""wednesday"",4,date_wday==""thursday"",5,date_wday==""friday"",6,date_wday==""saturday"",7)
| sort dayIndex
| fields - dayIndex","BEER-PC01","1751267590.155518",0,"UI:Dashboard:tutorialdata",25000,1751267592,0,25000,canceled,"1.3880000000000001",,,,,"1833029933770.955","1833029933770.955",search14,,,,,,,,,,,,,,,,,,,,,
"admin__admin__search__search4_1751267621.845","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie
| stats count by referer_domain
| sort - by count","BEER-PC01","1751267621.217219",0,"UI:Dashboard:check",79064,1751267623,4,79064,completed,"2.32",,,,,"1833029933770.955","1833029933770.955",search4,,,,,,,,,,,,,,,,,,,,,
"admin__admin__search__search7_1751267826.863","search source=""tutorialdata.zip:*"" sourcetype=access_combined_wcookie  
| transaction JSESSIONID mvlist=true
| eval indexSuccess=mvfind(file, ""success.do"")
| search indexSuccess=""*""
| eval timeSuccess=strptime(mvindex(req_time,indexSuccess), ""%d/%b/%Y:%H:%M:%S"") 
| eval timeLogin=strptime(mvindex(req_time,0), ""%d/%b/%Y:%H:%M:%S"") 
| eval timeToPurchase=timeSuccess-timeLogin
| stats min(timeToPurchase) as minPurchaseTime","BEER-PC01","1751267826.983633",0,"UI:Dashboard:tutorialdata",1610,1751267828,1,79064,completed,"3.622",,,,,"1833029933770.955","1833029933770.955",search7,,,,,,,,,,,,,,,,,,,,,
