sid,search,"splunk_server","_time","is_realtime","api_et","api_lt","event_count","exec_time","result_count","scan_count","search_et","search_lt",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_api_et","__mv_api_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_search_et","__mv_search_lt","__mv_status","__mv_total_run_time"
"1709427674.4790","| savedsearch instrumentation.usage.rollup","BEER-PC01","1709427674.928746",0,"1709244000.000000000","1709416799.000000000",0,1709427675,0,0,"1709244000.000000000","1709416799.000000000",failed,"0.75",,,,,,,,,,,,,,,
"1709427676.4791","| savedsearch instrumentation.usage.kvstore","BEER-PC01","1709427676.504041",0,"1709244000.000000000","1709416799.000000000",0,1709427676,1,0,"1709244000.000000000","1709416799.000000000",completed,"0.14300000000000002",,,,,,,,,,,,,,,
"1709427677.4792","| savedsearch instrumentation.usage.healthMonitor.currentState","BEER-PC01","1709427677.407352",0,"1709244000.000000000","1709416799.000000000",0,1709427677,1,0,"1709244000.000000000","1709416799.000000000",completed,"0.717",,,,,,,,,,,,,,,
"1709427678.4793","| savedsearch instrumentation.usage.savedSearches.alerts","BEER-PC01","1709427678.972636",0,"1709244000.000000000","1709416799.000000000",0,1709427679,0,0,"1709244000.000000000","1709416799.000000000",failed,"0.659",,,,,,,,,,,,,,,
"1709427680.4794","| savedsearch instrumentation.usage.streamingMetricAlerts","BEER-PC01","1709427680.381077",0,"1709244000.000000000","1709416799.000000000",0,1709427680,0,0,"1709244000.000000000","1709416799.000000000",failed,"0.705",,,,,,,,,,,,,,,
"1709427681.4795","| savedsearch instrumentation.usage.durableSearch","BEER-PC01","1709427681.994445",0,"1709244000.000000000","1709416799.000000000",0,1709427682,0,0,"1709244000.000000000","1709416799.000000000",failed,"0.729",,,,,,,,,,,,,,,
"1709427683.4796","| savedsearch instrumentation.usage.rest","BEER-PC01","1709427683.554216",0,"1709244000.000000000","1709416799.000000000",692,1709427683,4,692,"1709244000.000000000","1709416799.000000000",completed,"0.159",,,,,,,,,,,,,,,
"1709427691.4797","| savedsearch instrumentation.performance.indexing","BEER-PC01","1709427691.775102",0,"1709244000.000000000","1709416799.000000000",5574,1709427692,2,5574,"1709244000.000000000","1709416799.000000000",completed,"0.324",,,,,,,,,,,,,,,
"1709427692.4798","| savedsearch instrumentation.performance.search","BEER-PC01","1709427692.925863",0,"1709244000.000000000","1709416799.000000000",254,1709427693,2,254,"1709244000.000000000","1709416799.000000000",completed,"0.157",,,,,,,,,,,,,,,
"1709427693.4799","| savedsearch instrumentation.usage.search.concurrent","BEER-PC01","1709427693.840905",0,"1709244000.000000000","1709416799.000000000",11,1709427694,2,11,"1709244000.000000000","1709416799.000000000",completed,"0.171",,,,,,,,,,,,,,,
"1709427694.4800","| savedsearch instrumentation.usage.users.active","BEER-PC01","1709427694.765663",0,"1709244000.000000000","1709416799.000000000",0,1709427695,0,894,"1709244000.000000000","1709416799.000000000",completed,"0.176",,,,,,,,,,,,,,,
"1709427695.4801","| savedsearch instrumentation.deployment.node","BEER-PC01","1709427695.653229",0,"1709244000.000000000","1709416799.000000000",288,1709427695,2,288,"1709244000.000000000","1709416799.000000000",completed,"0.555",,,,,,,,,,,,,,,
"1709427697.4802","| savedsearch instrumentation.deployment.index","BEER-PC01","1709427697.027596",0,"1709244000.000000000","1709416799.000000000",0,1709427697,11,0,"1709244000.000000000","1709416799.000000000",completed,"0.589",,,,,,,,,,,,,,,
"1709427698.4803","| savedsearch instrumentation.usage.search.type","BEER-PC01","1709427698.403306",0,"1709244000.000000000","1709416799.000000000",11,1709427698,2,11,"1709244000.000000000","1709416799.000000000",completed,"0.148",,,,,,,,,,,,,,,
"1709427699.4804","| savedsearch instrumentation.licensing.stack","BEER-PC01","1709427699.317575",0,"1709244000.000000000","1709416799.000000000",2,1709427699,2,2,"1709244000.000000000","1709416799.000000000",completed,"0.194",,,,,,,,,,,,,,,
"1709427700.4805","| savedsearch instrumentation.deployment.forwarders","BEER-PC01","1709427700.205113",0,"1709244000.000000000","1709416799.000000000",0,1709427700,0,0,"1709244000.000000000","1709416799.000000000",completed,"0.14400000000000002",,,,,,,,,,,,,,,
"1709427701.4806","| savedsearch instrumentation.usage.indexing.sourcetype","BEER-PC01","1709427701.102826",0,"1709244000.000000000","1709416799.000000000",29262,1709427701,30,29262,"1709244000.000000000","1709416799.000000000",completed,"0.448",,,,,,,,,,,,,,,
"1709427702.4807","| savedsearch instrumentation.deployment.clustering.indexer","BEER-PC01","1709427702.467872",0,"1709244000.000000000","1709416799.000000000",0,1709427702,1,0,"1709244000.000000000","1709416799.000000000",completed,"0.12",,,,,,,,,,,,,,,
"1709427703.4808","| savedsearch instrumentation.usage.app.page","BEER-PC01","1709427703.404649",0,"1709244000.000000000","1709416799.000000000",0,1709427703,0,0,"1709244000.000000000","1709416799.000000000",completed,"0.14",,,,,,,,,,,,,,,
"1709427710.4809","search index=_introspection sourcetype=splunk_telemetry | spath date | search  date>=2024-03-01 date<=2024-03-02 (visibility= *anonymous* OR visibility= *license* OR visibility= *support*)","BEER-PC01","1709427710.689093",0,"1709427600.000000000","1709427710.000000000",68,1709427710,68,69,"1709427600.000000000","1709427710.000000000",completed,"0.161",,,,,,,,,,,,,,,
"1709514061.4923","| savedsearch instrumentation.deployment.app","BEER-PC01","1709514061.562942",0,"1709330400.000000000","1709503199.000000000",0,1709514061,18,0,"1709330400.000000000","1709503199.000000000",completed,"0.11",,,,,,,,,,,,,,,
"1709514062.4924","| savedsearch instrumentation.topology.deployment.licensing.slave","BEER-PC01","1709514062.483678",0,"1709330400.000000000","1709503199.000000000",0,1709514062,1,0,"1709330400.000000000","1709503199.000000000",completed,"0.061",,,,,,,,,,,,,,,
"1709514063.4925","| savedsearch instrumentation.usage.search.report_acceleration","BEER-PC01","1709514063.400735",0,"1709330400.000000000","1709503199.000000000",0,1709514063,0,0,"1709330400.000000000","1709503199.000000000",failed,"0.6970000000000001",,,,,,,,,,,,,,,
"1709514064.4926","| savedsearch instrumentation.usage.search.searchTelemetry","BEER-PC01","1709514064.964011",0,"1709330400.000000000","1709503199.000000000",250,1709514065,0,250,"1709330400.000000000","1709503199.000000000",failed,"0.783",,,,,,,,,,,,,,,
"1709514066.4927","| savedsearch instrumentation.usage.search.searchtelemetry.sourcetypeUsage","BEER-PC01","1709514066.545537",0,"1709330400.000000000","1709503199.000000000",966,1709514066,0,966,"1709330400.000000000","1709503199.000000000",failed,"0.744",,,,,,,,,,,,,,,
"1709514068.4928","| savedsearch instrumentation.usage.lookups.lookupDefinitions","BEER-PC01","1709514068.099872",0,"1709330400.000000000","1709503199.000000000",0,1709514068,0,0,"1709330400.000000000","1709503199.000000000",failed,"0.652",,,,,,,,,,,,,,,
"1709514069.4929","| savedsearch instrumentation.performance.bundleReplication","BEER-PC01","1709514069.670456",0,"1709330400.000000000","1709503199.000000000",0,1709514069,0,0,"1709330400.000000000","1709503199.000000000",failed,"0.766",,,,,,,,,,,,,,,
"1709514071.4930","| savedsearch instrumentation.performance.bundleReplicationCycle","BEER-PC01","1709514071.254697",0,"1709330400.000000000","1709503199.000000000",0,1709514071,0,0,"1709330400.000000000","1709503199.000000000",failed,"0.5710000000000001",,,,,,,,,,,,,,,
"1709514072.4931","| savedsearch instrumentation.usage.metrics","BEER-PC01","1709514072.620111",0,"1709330400.000000000","1709503199.000000000",0,1709514072,0,0,"1709513172.000000000","2147483647.000000000",completed,"0.074",,,,,,,,,,,,,,,
"1709514073.4932","| savedsearch instrumentation.usage.rollup","BEER-PC01","1709514073.507048",0,"1709330400.000000000","1709503199.000000000",0,1709514073,0,0,"1709330400.000000000","1709503199.000000000",failed,"0.803",,,,,,,,,,,,,,,
"1709514075.4933","| savedsearch instrumentation.usage.kvstore","BEER-PC01","1709514075.055755",0,"1709330400.000000000","1709503199.000000000",0,1709514075,1,0,"1709330400.000000000","1709503199.000000000",completed,"0.106",,,,,,,,,,,,,,,
"1709514075.4934","| savedsearch instrumentation.usage.healthMonitor.currentState","BEER-PC01","1709514075.977969",0,"1709330400.000000000","1709503199.000000000",0,1709514076,1,0,"1709330400.000000000","1709503199.000000000",completed,"0.732",,,,,,,,,,,,,,,
"1709514077.4935","| savedsearch instrumentation.usage.savedSearches.alerts","BEER-PC01","1709514077.554477",0,"1709330400.000000000","1709503199.000000000",0,1709514077,0,0,"1709330400.000000000","1709503199.000000000",failed,"0.673",,,,,,,,,,,,,,,
"1709514080.4937","| savedsearch instrumentation.usage.durableSearch","BEER-PC01","1709514080.375628",0,"1709330400.000000000","1709503199.000000000",0,1709514080,0,0,"1709330400.000000000","1709503199.000000000",failed,"0.721",,,,,,,,,,,,,,,
"1709514081.4938","| savedsearch instrumentation.usage.rest","BEER-PC01","1709514081.950319",0,"1709330400.000000000","1709503199.000000000",694,1709514082,4,694,"1709330400.000000000","1709503199.000000000",completed,"0.202",,,,,,,,,,,,,,,
"1709514090.4939","| savedsearch instrumentation.performance.indexing","BEER-PC01","1709514090.166947",0,"1709330400.000000000","1709503199.000000000",5574,1709514090,2,5574,"1709330400.000000000","1709503199.000000000",completed,"0.313",,,,,,,,,,,,,,,
"1709514091.4940","| savedsearch instrumentation.performance.search","BEER-PC01","1709514091.320351",0,"1709330400.000000000","1709503199.000000000",254,1709514091,2,254,"1709330400.000000000","1709503199.000000000",completed,"0.183",,,,,,,,,,,,,,,
"1709514092.4941","| savedsearch instrumentation.usage.search.concurrent","BEER-PC01","1709514092.230837",0,"1709330400.000000000","1709503199.000000000",8,1709514092,2,8,"1709330400.000000000","1709503199.000000000",completed,"0.162",,,,,,,,,,,,,,,
"1709514093.4942","| savedsearch instrumentation.usage.users.active","BEER-PC01","1709514093.146550",0,"1709330400.000000000","1709503199.000000000",0,1709514093,0,896,"1709330400.000000000","1709503199.000000000",completed,"0.13",,,,,,,,,,,,,,,
"1709514094.4943","| savedsearch instrumentation.deployment.node","BEER-PC01","1709514094.015022",0,"1709330400.000000000","1709503199.000000000",288,1709514094,2,288,"1709330400.000000000","1709503199.000000000",completed,"0.605",,,,,,,,,,,,,,,
"1709514095.4944","| savedsearch instrumentation.deployment.index","BEER-PC01","1709514095.423747",0,"1709330400.000000000","1709503199.000000000",0,1709514095,11,0,"1709330400.000000000","1709503199.000000000",completed,"0.584",,,,,,,,,,,,,,,
"1709514096.4945","| savedsearch instrumentation.usage.search.type","BEER-PC01","1709514096.790031",0,"1709330400.000000000","1709503199.000000000",8,1709514097,2,8,"1709330400.000000000","1709503199.000000000",completed,"0.165",,,,,,,,,,,,,,,
"1709514097.4946","| savedsearch instrumentation.licensing.stack","BEER-PC01","1709514097.718503",0,"1709330400.000000000","1709503199.000000000",2,1709514097,2,2,"1709330400.000000000","1709503199.000000000",completed,"0.163",,,,,,,,,,,,,,,
"1709514098.4947","| savedsearch instrumentation.deployment.forwarders","BEER-PC01","1709514098.591661",0,"1709330400.000000000","1709503199.000000000",0,1709514098,0,0,"1709330400.000000000","1709503199.000000000",completed,"0.194",,,,,,,,,,,,,,,
"1709514099.4948","| savedsearch instrumentation.usage.indexing.sourcetype","BEER-PC01","1709514099.469810",0,"1709330400.000000000","1709503199.000000000",29260,1709514099,30,29260,"1709330400.000000000","1709503199.000000000",completed,"0.423",,,,,,,,,,,,,,,
"1709514100.4949","| savedsearch instrumentation.deployment.clustering.indexer","BEER-PC01","1709514100.630773",0,"1709330400.000000000","1709503199.000000000",0,1709514100,1,0,"1709330400.000000000","1709503199.000000000",completed,"0.129",,,,,,,,,,,,,,,
"1709514101.4950","| savedsearch instrumentation.usage.app.page","BEER-PC01","1709514101.521369",0,"1709330400.000000000","1709503199.000000000",0,1709514101,0,0,"1709330400.000000000","1709503199.000000000",completed,"0.133",,,,,,,,,,,,,,,
