4.3.0 2025-07-01 07:04:18,003 INFO 51148 - Fetching apps after 818.7097764459365 secs
4.3.0 2025-07-01 07:19:30,670 INFO 51148 - Found a synced splunkbase file
4.3.0 2025-07-01 07:19:30,671 INFO 51148 - splunkbase_path- C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751252531.csv
4.3.0 2025-07-01 07:19:30,870 INFO 51148 - Initial call to splunkbase API
4.3.0 2025-07-01 07:19:31,384 INFO 51148 - Successfully fetched all the apps
4.3.0 2025-07-01 07:19:31,408 INFO 51148 - Writing to file C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751343571.csv
4.3.0 2025-07-01 07:19:31,429 INFO 51148 - Successfully written to file C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751343571.csv
4.3.0 2025-07-01 07:19:31,429 INFO 51148 - Deleting C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751252531.csv as they are previous synced files
4.3.0 2025-07-02 08:01:02,341 INFO 75764 - Fetching apps after 633.3489474712034 secs
4.3.0 2025-07-02 08:13:28,946 INFO 75764 - Found a synced splunkbase file
4.3.0 2025-07-02 08:13:28,946 INFO 75764 - splunkbase_path- C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751343571.csv
4.3.0 2025-07-02 08:13:29,117 INFO 75764 - Initial call to splunkbase API
4.3.0 2025-07-02 08:13:29,612 INFO 75764 - Successfully fetched all the apps
4.3.0 2025-07-02 08:13:29,637 INFO 75764 - Writing to file C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751433209.csv
4.3.0 2025-07-02 08:13:29,660 INFO 75764 - Successfully written to file C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751433209.csv
4.3.0 2025-07-02 08:13:29,661 INFO 75764 - Deleting C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751343571.csv as they are previous synced files
4.3.0 2025-07-03 07:28:00,006 INFO 99812 - Fetching apps after 12.502459887434236 secs
4.3.0 2025-07-03 07:28:12,527 INFO 99812 - Found a synced splunkbase file
4.3.0 2025-07-03 07:28:12,527 INFO 99812 - splunkbase_path- C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751433209.csv
4.3.0 2025-07-03 07:28:12,809 INFO 99812 - Initial call to splunkbase API
4.3.0 2025-07-03 07:28:13,601 INFO 99812 - Successfully fetched all the apps
4.3.0 2025-07-03 07:28:13,624 INFO 99812 - Writing to file C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751516893.csv
4.3.0 2025-07-03 07:28:13,645 INFO 99812 - Successfully written to file C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751516893.csv
4.3.0 2025-07-03 07:28:13,645 INFO 99812 - Deleting C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751433209.csv as they are previous synced files
4.3.0 2025-07-06 22:00:41,098 INFO 96000 - Fetching apps after 590.2220143602117 secs
4.3.0 2025-07-06 22:10:31,331 INFO 96000 - Found a synced splunkbase file
4.3.0 2025-07-06 22:10:31,331 INFO 96000 - splunkbase_path- C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751516893.csv
4.3.0 2025-07-06 22:10:31,509 INFO 96000 - Initial call to splunkbase API
4.3.0 2025-07-06 22:10:32,048 INFO 96000 - Successfully fetched all the apps
4.3.0 2025-07-06 22:10:32,068 INFO 96000 - Writing to file C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751829032.csv
4.3.0 2025-07-06 22:10:32,089 INFO 96000 - Successfully written to file C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751829032.csv
4.3.0 2025-07-06 22:10:32,089 INFO 96000 - Deleting C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751516893.csv as they are previous synced files
4.3.0 2025-07-07 06:00:01,379 INFO 127928 - Fetching apps after 651.9012588142978 secs
4.3.0 2025-07-07 06:10:53,310 INFO 127928 - Found a synced splunkbase file
4.3.0 2025-07-07 06:10:53,310 INFO 127928 - splunkbase_path- C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751829032.csv
4.3.0 2025-07-07 06:10:53,517 INFO 127928 - Initial call to splunkbase API
4.3.0 2025-07-07 06:10:54,026 INFO 127928 - Successfully fetched all the apps
4.3.0 2025-07-07 06:10:54,047 INFO 127928 - Writing to file C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751857854.csv
4.3.0 2025-07-07 06:10:54,071 INFO 127928 - Successfully written to file C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751857854.csv
4.3.0 2025-07-07 06:10:54,071 INFO 127928 - Deleting C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751829032.csv as they are previous synced files
4.3.0 2025-07-08 06:00:02,917 INFO 113368 - Fetching apps after 337.43141039989337 secs
4.3.0 2025-07-08 06:05:40,353 INFO 113368 - Found a synced splunkbase file
4.3.0 2025-07-08 06:05:40,353 INFO 113368 - splunkbase_path- C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751857854.csv
4.3.0 2025-07-08 06:05:40,754 INFO 113368 - Initial call to splunkbase API
4.3.0 2025-07-08 06:05:41,883 INFO 113368 - Successfully fetched all the apps
4.3.0 2025-07-08 06:05:41,948 INFO 113368 - Writing to file C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751943941.csv
4.3.0 2025-07-08 06:05:41,990 INFO 113368 - Successfully written to file C:\Program Files\Splunk\etc\apps\python_upgrade_readiness_app\local\app_list\splunkbaseapps_1751943941.csv
