2023-11-21 14:27:17,957 INFO	[655ca224c91c93dba8688] __init__:174 - Using default logging config file: C:\Program Files\Splunk\etc\log.cfg
2023-11-21 14:27:17,959 INFO	[655ca224c91c93dba8688] __init__:212 - Setting logger=splunk level=INFO
2023-11-21 14:27:17,959 INFO	[655ca224c91c93dba8688] __init__:212 - Setting logger=splunk.appserver level=INFO
2023-11-21 14:27:17,959 INFO	[655ca224c91c93dba8688] __init__:212 - Setting logger=splunk.appserver.controllers level=INFO
2023-11-21 14:27:17,959 INFO	[655ca224c91c93dba8688] __init__:212 - Setting logger=splunk.appserver.controllers.proxy level=INFO
2023-11-21 14:27:17,960 INFO	[655ca224c91c93dba8688] __init__:212 - Setting logger=splunk.appserver.lib level=WARN
2023-11-21 14:27:17,960 INFO	[655ca224c91c93dba8688] __init__:212 - Setting logger=splunk.pdfgen level=INFO
2023-11-21 14:27:17,960 INFO	[655ca224c91c93dba8688] __init__:212 - Setting logger=splunk.archiver_restoration level=INFO
2023-11-21 14:27:20,704 INFO	[655ca224c91c93dba8688] lists:59 - List controller loaded: EntitiesListGenerator
2023-11-21 14:27:20,704 INFO	[655ca224c91c93dba8688] lists:65 - Setting lists/entities
2023-11-21 14:27:20,704 INFO	[655ca224c91c93dba8688] lists:59 - List controller loaded: JobsListGenerator
2023-11-21 14:27:20,705 INFO	[655ca224c91c93dba8688] lists:65 - Setting lists/jobs
2023-11-21 14:27:20,778 INFO	[655ca224c91c93dba8688] root:356 - Proxied mode ip_address=127.0.0.1 port=8065 exposed_port=8000:
2023-11-21 14:27:21,378 INFO	[655ca224c91c93dba8688] root:630 - overriding JSON MIME type with 'text/plain; charset=UTF-8'
2023-11-21 14:27:21,399 INFO	[655ca224c91c93dba8688] startup:139 - Splunk appserver version=UNKNOWN_VERSION build=000 isFree=False isTrial=True
2023-11-21 14:27:21,399 INFO	[655ca224c91c93dba8688] root:660 - splunkdConnectionTimeout=30
2023-11-21 14:27:21,400 INFO	[655ca224c91c93dba8688] _cplogging:216 - [21/Nov/2023:14:27:21] ENGINE Listening for SIGTERM.
2023-11-21 14:27:21,400 INFO	[655ca224c91c93dba8688] root:166 - ENGINE: Listening for SIGTERM.
2023-11-21 14:27:21,400 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: DISPATCH_TIME_FORMAT (str): %s.%Q
2023-11-21 14:27:21,400 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: SSOMode (str): strict
2023-11-21 14:27:21,400 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: acceptFrom (str): *
2023-11-21 14:27:21,400 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: activeLicenseGroup (NoneType): None
2023-11-21 14:27:21,400 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: activeLicenseSubgroup (str): UNKNOWN_LICENSE_SUBGROUP
2023-11-21 14:27:21,400 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: addOns (dict): {}
2023-11-21 14:27:21,401 INFO	[655ca224c91c93dba8688] root:733 - CONFIG: allowSslCompression (bool): False
