07-07-2025 03:00:01.656 +0300 INFO  SearchTelemetrySingleton - record_search_telemetry=1
07-07-2025 03:00:01.656 +0300 WARN  SearchTelemetrySingleton - Config setting remote_search_telemetry_file_limit=-1114177552 is invalid. Will use 30
07-07-2025 03:00:01.667 +0300 WARN  SearchTelemetrySingleton - Unable to read configuration for index_remote_search_telemetry from limits.conf, defaulting to false
07-07-2025 03:00:01.667 +0300 INFO  SearchTelemetrySingleton - Loaded config settings: telemetry file limit = 500, event size limit = 1000000, component size limit = 10000
07-07-2025 03:00:03.935 +0300 INFO  SearchTelemetry - set search status to success
07-07-2025 03:00:04.318 +0300 INFO  SearchTelemetry - set search status to success
07-07-2025 03:00:05.260 +0300 INFO  SearchTelemetry - set search status to success
07-07-2025 03:00:05.411 +0300 INFO  SearchTelemetry - set search status to success
07-07-2025 03:00:05.555 +0300 INFO  SearchTelemetry - set search status to success
07-07-2025 03:00:05.606 +0300 INFO  SearchTelemetrySingleton - Writing search telemetry to search_telemetry.json
07-07-2025 03:00:05.613 +0300 INFO  SearchTelemetrySingleton - Copying search_telemetry.json from dispatch dir to var/run/splunk/search_telemetry
07-07-2025 03:00:05.617 +0300 INFO  SearchTelemetrySingleton - Done copying search_telemetry.json to C:\Program Files\Splunk\var\run\splunk\search_telemetry\f442bf554a78a5ca_scheduler__nobody_c3BsdW5rX2luc3RydW1lbnRhdGlvbg__RMD5033d5cc4dca52033_at_1751846400_7_search_telemetry.json
