07-07-2025 03:00:01.577 +0300 INFO  SearchTelemetrySingleton - record_search_telemetry=1
07-07-2025 03:00:01.577 +0300 WARN  SearchTelemetrySingleton - Config setting remote_search_telemetry_file_limit=-1114177552 is invalid. Will use 30
07-07-2025 03:00:01.592 +0300 WARN  SearchTelemetrySingleton - Unable to read configuration for index_remote_search_telemetry from limits.conf, defaulting to false
07-07-2025 03:00:01.592 +0300 INFO  SearchTelemetrySingleton - Loaded config settings: telemetry file limit = 500, event size limit = 1000000, component size limit = 10000
07-07-2025 03:00:01.861 +0300 INFO  SearchTelemetry - set search status to success
07-07-2025 03:00:01.960 +0300 INFO  SearchTelemetry - set search status to success
07-07-2025 03:00:02.012 +0300 INFO  SearchTelemetry - set search status to success
07-07-2025 03:00:02.107 +0300 INFO  SearchTelemetry - set search status to success
07-07-2025 03:00:02.162 +0300 INFO  SearchTelemetry - set search status to success
07-07-2025 03:00:02.701 +0300 INFO  SearchTelemetry - set search status to success
07-07-2025 03:00:02.793 +0300 INFO  SearchTelemetry - set search status to success
07-07-2025 03:00:02.854 +0300 INFO  SearchTelemetrySingleton - Writing search telemetry to search_telemetry.json
07-07-2025 03:00:02.854 +0300 INFO  SearchTelemetrySingleton - Copying search_telemetry.json from dispatch dir to var/run/splunk/search_telemetry
07-07-2025 03:00:02.854 +0300 INFO  SearchTelemetrySingleton - Done copying search_telemetry.json to C:\Program Files\Splunk\var\run\splunk\search_telemetry\62932a6194c9b2d6_scheduler__nobody_c3BsdW5rX2luc3RydW1lbnRhdGlvbg__RMD526e53dd85d19f78a_at_1751846400_6_search_telemetry.json
