06-30-2025 03:00:01.217 INFO  dispatchRunner [0 MainThread] - Search process mode: freestanding (build e053ef3c985f).
06-30-2025 03:00:01.218 INFO  dispatchRunner [0 MainThread] - initing LicenseMgr in search process: nonPro=1
06-30-2025 03:00:01.218 INFO  LMStackMgr [0 MainThread] - Initializing CleMgr...
06-30-2025 03:00:01.218 INFO  LicenseMgr [0 MainThread] - Initing LicenseMgr
06-30-2025 03:00:01.223 INFO  ServerConfig [0 MainThread] - Found no hostname options in server.conf. Will attempt to use default for now.
06-30-2025 03:00:01.223 INFO  ServerConfig [0 MainThread] - Host name option is "".
06-30-2025 03:00:01.243 INFO  ServerConfig [0 MainThread] - SSL session cache path  enabled 0 session timeout on SSL server 300.000
06-30-2025 03:00:01.244 INFO  ServerConfig [0 MainThread] - Splunk is starting with EC-SSC disabled
06-30-2025 03:00:01.244 INFO  LMConfig [0 MainThread] - serverName=BEER-PC01 guid=D59BE72C-130E-4AB5-91DF-EC18452C6179
06-30-2025 03:00:01.244 INFO  LMConfig [0 MainThread] - connection_timeout=30
06-30-2025 03:00:01.244 INFO  LMConfig [0 MainThread] - send_timeout=30
06-30-2025 03:00:01.244 INFO  LMConfig [0 MainThread] - receive_timeout=30
06-30-2025 03:00:01.244 INFO  LMConfig [0 MainThread] - key=license_warnings_update_interval not found in licenser stanza of server.conf, defaulting=0
06-30-2025 03:00:01.244 INFO  LMConfig [0 MainThread] - squash_threshold=2000
06-30-2025 03:00:01.244 INFO  LMConfig [0 MainThread] - strict_pool_quota=1
06-30-2025 03:00:01.244 INFO  LMConfig [0 MainThread] - key=pool_suggestion not found in licenser stanza of server.conf, defaulting=''
06-30-2025 03:00:01.244 INFO  LMConfig [0 MainThread] - key=test_aws_metering not found in licenser stanza of server.conf, defaulting=0
06-30-2025 03:00:01.244 INFO  LMConfig [0 MainThread] - key=test_aws_product_code not found in licenser stanza of server.conf, defaulting=0
06-30-2025 03:00:01.244 INFO  LicenseMgr [0 MainThread] - Initing LicenseMgr runContext_splunkd=false
06-30-2025 03:00:01.244 INFO  LMStackMgr [0 MainThread] - closing stack mgr
06-30-2025 03:00:01.244 INFO  LMSlaveInfo [0 MainThread] - all slaves cleared
06-30-2025 03:00:01.245 INFO  LMStackMgr [0 MainThread] - Initalized license_warnings_update_interval=auto
06-30-2025 03:00:01.245 INFO  LMStackMgr [0 MainThread] - License Manager supports Conditional Licensing Enforcement. For baked in CLE policies, window_period=60 days, max_violations=45, for stack size below 107374182400 bytes
06-30-2025 03:00:01.245 INFO  LMLicense [0 MainThread] - Applying default enforcement policy for free
06-30-2025 03:00:01.245 INFO  LMStackMgr [0 MainThread] - Added policy WinSz=30 Warnings=3 MaxSize=0 isDefault=1 features= for free
06-30-2025 03:00:01.245 INFO  LMLicense [0 MainThread] - Applying default enforcement policy for forwarder
06-30-2025 03:00:01.245 INFO  LMStackMgr [0 MainThread] - Added policy WinSz=30 Warnings=5 MaxSize=0 isDefault=1 features= for forwarder
06-30-2025 03:00:01.245 INFO  LMStackMgr [0 MainThread] - Skipping trial license as alternative license type in use
06-30-2025 03:00:01.245 INFO  LMStackMgr [0 MainThread] - Skipping trial pool stanza as alternative license in use
06-30-2025 03:00:01.245 INFO  LMStackMgr [0 MainThread] - added pool auto_generated_pool_forwarder to stack forwarder
06-30-2025 03:00:01.245 INFO  LMStackMgr [0 MainThread] - added pool auto_generated_pool_free to stack free
06-30-2025 03:00:01.245 INFO  LMStackMgr [0 MainThread] - Initialized hideQuotaWarning = "0"
06-30-2025 03:00:01.245 INFO  LMStackMgr [0 MainThread] - init completed [D59BE72C-130E-4AB5-91DF-EC18452C6179,Free,runContext_splunkd=false]
06-30-2025 03:00:01.245 INFO  LicenseMgr [0 MainThread] - StackMgr init complete...
06-30-2025 03:00:01.245 INFO  LMTracker [0 MainThread] - Setting default product type='enterprise'
06-30-2025 03:00:01.245 INFO  LMTracker [0 MainThread] - this is not splunkd, will perform partial init
06-30-2025 03:00:01.245 INFO  LicenseMgr [0 MainThread] - Tracker init complete...
06-30-2025 03:00:01.255 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'licenses'
06-30-2025 03:00:01.255 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'pools'
06-30-2025 03:00:01.255 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'stacks'
06-30-2025 03:00:01.255 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'groups'
06-30-2025 03:00:01.255 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'slaves'
06-30-2025 03:00:01.255 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'localslave'
06-30-2025 03:00:01.255 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'licensermessages'
06-30-2025 03:00:01.255 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'scriptedwarning'
