07-07-2025 03:00:01.330 INFO  dispatchRunner [0 MainThread] - Search process mode: freestanding (build 78803f08aabb).
07-07-2025 03:00:01.331 INFO  dispatchRunner [0 MainThread] - initing LicenseMgr in search process: nonPro=1
07-07-2025 03:00:01.331 INFO  LMStackMgr [0 MainThread] - Initializing CleMgr...
07-07-2025 03:00:01.331 INFO  LicenseMgr [0 MainThread] - Initing LicenseMgr
07-07-2025 03:00:01.331 INFO  ServerConfig [0 MainThread] - Found no hostname options in server.conf. Will attempt to use default for now.
07-07-2025 03:00:01.331 INFO  ServerConfig [0 MainThread] - Host name option is "".
07-07-2025 03:00:01.341 INFO  ServerConfig [0 MainThread] - TLS Sidecar disabled
07-07-2025 03:00:01.341 WARN  SSLOptions [0 MainThread] - server.conf/[sslConfig]/sslVerifyServerCert is false disabling certificate validation; must be set to "true" for increased security
07-07-2025 03:00:01.346 WARN  SSLCommon [0 MainThread] - PYTHONHTTPSVERIFY is set to 0 in splunk-launch.conf disabling certificate validation for the httplib and urllib libraries shipped with the embedded Python interpreter; must be set to "1" for increased security
07-07-2025 03:00:01.350 INFO  ServerConfig [0 MainThread] - SSL session cache path  enabled 0 session timeout on SSL server 300.000
07-07-2025 03:00:01.350 INFO  ServerConfig [0 MainThread] - disableSSLShutdown=0
07-07-2025 03:00:01.350 INFO  ServerConfig [0 MainThread] - Setting search process to have long life span: enable_search_process_long_lifespan=1
07-07-2025 03:00:01.350 INFO  ServerConfig [0 MainThread] - enableTeleportSupervisor=0, scsEvironment=production
07-07-2025 03:00:01.350 INFO  ServerConfig [0 MainThread] - certificateStatusValidationMethod is not set, defaulting to none.
07-07-2025 03:00:01.350 INFO  ServerConfig [0 MainThread] - Splunk is starting with EC-SSC disabled
07-07-2025 03:00:01.350 INFO  LMConfig [0 MainThread] - serverName=BEER-PC01 guid=D59BE72C-130E-4AB5-91DF-EC18452C6179
07-07-2025 03:00:01.350 INFO  LMConfig [0 MainThread] - connection_timeout=30
07-07-2025 03:00:01.350 INFO  LMConfig [0 MainThread] - send_timeout=30
07-07-2025 03:00:01.350 INFO  LMConfig [0 MainThread] - receive_timeout=30
07-07-2025 03:00:01.350 INFO  LMConfig [0 MainThread] - key=license_warnings_update_interval not found in licenser stanza of server.conf, defaulting=0
07-07-2025 03:00:01.350 INFO  LMConfig [0 MainThread] - squash_threshold=2000
07-07-2025 03:00:01.350 INFO  LMConfig [0 MainThread] - strict_pool_quota=1
07-07-2025 03:00:01.350 INFO  LMConfig [0 MainThread] - key=pool_suggestion not found in licenser stanza of server.conf, defaulting=''
07-07-2025 03:00:01.352 INFO  LMConfig [0 MainThread] - key=test_aws_metering not found in licenser stanza of server.conf, defaulting=0
07-07-2025 03:00:01.352 INFO  LMConfig [0 MainThread] - key=test_aws_product_code not found in licenser stanza of server.conf, defaulting=0
07-07-2025 03:00:01.352 INFO  LMConfig [0 MainThread] - lm_ping_interval=86400
07-07-2025 03:00:01.352 INFO  LMConfig [0 MainThread] - key=lm_uri not found in licenser stanza of server.conf, defaulting to empty array
07-07-2025 03:00:01.352 INFO  LicenseMgr [0 MainThread] - Initing LicenseMgr runContext_splunkd=false
07-07-2025 03:00:01.352 INFO  LMStackMgr [0 MainThread] - closing stack mgr
07-07-2025 03:00:01.352 INFO  LMSlaveInfo [0 MainThread] - all slaves cleared
07-07-2025 03:00:01.352 INFO  LMStackMgr [0 MainThread] - Initalized license_warnings_update_interval=auto
07-07-2025 03:00:01.352 INFO  LMStackMgr [0 MainThread] - License Manager supports Conditional Licensing Enforcement. For baked in CLE policies, window_period=60 days, max_violations=45, for stack size below 107374182400 bytes
07-07-2025 03:00:01.352 INFO  LMLicense [0 MainThread] - Applying default enforcement policy for free
