06-30-2025 03:00:01.151 INFO  dispatchRunner [0 MainThread] - Search process mode: freestanding (build e053ef3c985f).
06-30-2025 03:00:01.152 INFO  dispatchRunner [0 MainThread] - initing LicenseMgr in search process: nonPro=1
06-30-2025 03:00:01.152 INFO  LMStackMgr [0 MainThread] - Initializing CleMgr...
06-30-2025 03:00:01.152 INFO  LicenseMgr [0 MainThread] - Initing LicenseMgr
06-30-2025 03:00:01.157 INFO  ServerConfig [0 MainThread] - Found no hostname options in server.conf. Will attempt to use default for now.
06-30-2025 03:00:01.157 INFO  ServerConfig [0 MainThread] - Host name option is "".
06-30-2025 03:00:01.175 INFO  ServerConfig [0 MainThread] - SSL session cache path  enabled 0 session timeout on SSL server 300.000
06-30-2025 03:00:01.177 INFO  ServerConfig [0 MainThread] - Splunk is starting with EC-SSC disabled
06-30-2025 03:00:01.177 INFO  LMConfig [0 MainThread] - serverName=BEER-PC01 guid=D59BE72C-130E-4AB5-91DF-EC18452C6179
06-30-2025 03:00:01.177 INFO  LMConfig [0 MainThread] - connection_timeout=30
06-30-2025 03:00:01.177 INFO  LMConfig [0 MainThread] - send_timeout=30
06-30-2025 03:00:01.177 INFO  LMConfig [0 MainThread] - receive_timeout=30
06-30-2025 03:00:01.177 INFO  LMConfig [0 MainThread] - key=license_warnings_update_interval not found in licenser stanza of server.conf, defaulting=0
06-30-2025 03:00:01.177 INFO  LMConfig [0 MainThread] - squash_threshold=2000
06-30-2025 03:00:01.177 INFO  LMConfig [0 MainThread] - strict_pool_quota=1
06-30-2025 03:00:01.177 INFO  LMConfig [0 MainThread] - key=pool_suggestion not found in licenser stanza of server.conf, defaulting=''
06-30-2025 03:00:01.177 INFO  LMConfig [0 MainThread] - key=test_aws_metering not found in licenser stanza of server.conf, defaulting=0
06-30-2025 03:00:01.177 INFO  LMConfig [0 MainThread] - key=test_aws_product_code not found in licenser stanza of server.conf, defaulting=0
06-30-2025 03:00:01.177 INFO  LicenseMgr [0 MainThread] - Initing LicenseMgr runContext_splunkd=false
06-30-2025 03:00:01.177 INFO  LMStackMgr [0 MainThread] - closing stack mgr
06-30-2025 03:00:01.177 INFO  LMSlaveInfo [0 MainThread] - all slaves cleared
06-30-2025 03:00:01.177 INFO  LMStackMgr [0 MainThread] - Initalized license_warnings_update_interval=auto
06-30-2025 03:00:01.177 INFO  LMStackMgr [0 MainThread] - License Manager supports Conditional Licensing Enforcement. For baked in CLE policies, window_period=60 days, max_violations=45, for stack size below 107374182400 bytes
06-30-2025 03:00:01.177 INFO  LMLicense [0 MainThread] - Applying default enforcement policy for free
06-30-2025 03:00:01.177 INFO  LMStackMgr [0 MainThread] - Added policy WinSz=30 Warnings=3 MaxSize=0 isDefault=1 features= for free
06-30-2025 03:00:01.177 INFO  LMLicense [0 MainThread] - Applying default enforcement policy for forwarder
06-30-2025 03:00:01.177 INFO  LMStackMgr [0 MainThread] - Added policy WinSz=30 Warnings=5 MaxSize=0 isDefault=1 features= for forwarder
06-30-2025 03:00:01.177 INFO  LMStackMgr [0 MainThread] - Skipping trial license as alternative license type in use
06-30-2025 03:00:01.177 INFO  LMStackMgr [0 MainThread] - Skipping trial pool stanza as alternative license in use
06-30-2025 03:00:01.177 INFO  LMStackMgr [0 MainThread] - added pool auto_generated_pool_forwarder to stack forwarder
06-30-2025 03:00:01.177 INFO  LMStackMgr [0 MainThread] - added pool auto_generated_pool_free to stack free
06-30-2025 03:00:01.177 INFO  LMStackMgr [0 MainThread] - Initialized hideQuotaWarning = "0"
06-30-2025 03:00:01.177 INFO  LMStackMgr [0 MainThread] - init completed [D59BE72C-130E-4AB5-91DF-EC18452C6179,Free,runContext_splunkd=false]
06-30-2025 03:00:01.177 INFO  LicenseMgr [0 MainThread] - StackMgr init complete...
06-30-2025 03:00:01.177 INFO  LMTracker [0 MainThread] - Setting default product type='enterprise'
06-30-2025 03:00:01.177 INFO  LMTracker [0 MainThread] - this is not splunkd, will perform partial init
06-30-2025 03:00:01.177 INFO  LicenseMgr [0 MainThread] - Tracker init complete...
06-30-2025 03:00:01.186 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'licenses'
06-30-2025 03:00:01.186 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'pools'
06-30-2025 03:00:01.186 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'stacks'
06-30-2025 03:00:01.186 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'groups'
06-30-2025 03:00:01.186 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'slaves'
06-30-2025 03:00:01.186 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'localslave'
06-30-2025 03:00:01.186 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'licensermessages'
06-30-2025 03:00:01.186 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'scriptedwarning'
06-30-2025 03:00:01.187 INFO  AdminManagerDispatch [0 MainThread] - added factory for admin handler: 'licenseusage'
06-30-2025 03:00:01.187 INFO  dispatchRunner [0 MainThread] - Per-process handle limit is 512
06-30-2025 03:00:01.187 INFO  dispatchRunner [0 MainThread] - Increasing per-process handle limit from '512' to '2048'
06-30-2025 03:00:01.187 INFO  dispatchRunner [0 MainThread] - Successfully increased per-process handle limit from '512' to '2048'
06-30-2025 03:00:01.187 INFO  dispatchRunner [0 MainThread] - registering build time modules, count=1
06-30-2025 03:00:01.187 INFO  dispatchRunner [0 MainThread] - registering search time components of build time module name=vix
06-30-2025 03:00:01.187 INFO  dispatchRunner [0 MainThread] - Getting search configuration data from: C:\Program Files\Splunk\etc\modules\parsing\config.xml
06-30-2025 03:00:01.189 INFO  BundlesSetup [0 MainThread] - Setup stats for C:\Program Files\Splunk\etc: wallclock_elapsed_msec=62, cpu_time_used=0.0625, shared_services_generation=1, shared_services_population=1
06-30-2025 03:00:01.189 INFO  PipelineComponent [0 MainThread] - Ingestion pipeline sets have been configured to use pipeline set policy=round_robin for multiple pipeline sets.
06-30-2025 03:00:01.194 INFO  UserManager [17412 RunDispatch] - Setting user context: splunk-system-user
06-30-2025 03:00:01.194 INFO  UserManager [17412 RunDispatch] - Free version does not have user services
06-30-2025 03:00:01.194 INFO  UserManager [17412 RunDispatch] - Done setting user context: NULL -> NULL
06-30-2025 03:00:01.195 INFO  UserManager [17412 RunDispatch] - Unwound user context: NULL -> NULL
06-30-2025 03:00:01.195 INFO  UserManager [17412 RunDispatch] - Setting user context: admin
06-30-2025 03:00:01.195 INFO  UserManager [17412 RunDispatch] - Free version does not have user services
06-30-2025 03:00:01.195 INFO  UserManager [17412 RunDispatch] - Done setting user context: NULL -> NULL
06-30-2025 03:00:01.196 INFO  dispatchRunner [17412 RunDispatch] - search context: user="admin", app="splunk_instrumentation", bs-pathname="C:\Program Files\Splunk\etc"
06-30-2025 03:00:01.200 INFO  SearchParser [17412 RunDispatch] - PARSING: |rest splunk_server=local /services/admin/auth-services| join type=left splunk_server [|rest splunk_server=local /services/server/info | fields guid, splunk_server] | appendcols [|rest splunk_server=local /servicesNS/nobody/splunk_instrumentation/telemetry | fields telemetrySalt]| eval telemetrySalt=if(isnull(telemetrySalt), "", telemetrySalt), hashHost=sha1(telemetrySalt+splunk_server)| eval data="{\"host\": \""+hashHost+"\",\"guid\": \""+guid+"\", \"authentication method\": \""+active_authmodule+"\",\"mfa type\": " +"\"" + if(mfa_type=="", "none", mfa_type) +"\"}", _time=now(), date=strftime(_time, "%Y-%m-%d") | fields data _time date
06-30-2025 03:00:01.201 INFO  SearchParser [17412 RunDispatch] - PARSING: |rest splunk_server=local /services/server/info | fields guid, splunk_server
06-30-2025 03:00:01.201 INFO  dispatchRunner [17412 RunDispatch] - Search running in non-clustered mode
06-30-2025 03:00:01.201 INFO  dispatchRunner [17412 RunDispatch] - SearchHeadInitSearchMs=0
06-30-2025 03:00:01.201 INFO  SearchParser [17412 RunDispatch] - PARSING: |rest splunk_server=local /services/admin/auth-services| join type=left splunk_server [|rest splunk_server=local /services/server/info | fields guid, splunk_server] | appendcols [|rest splunk_server=local /servicesNS/nobody/splunk_instrumentation/telemetry | fields telemetrySalt]| eval telemetrySalt=if(isnull(telemetrySalt), "", telemetrySalt), hashHost=sha1(telemetrySalt+splunk_server)| eval data="{\"host\": \""+hashHost+"\",\"guid\": \""+guid+"\", \"authentication method\": \""+active_authmodule+"\",\"mfa type\": " +"\"" + if(mfa_type=="", "none", mfa_type) +"\"}", _time=now(), date=strftime(_time, "%Y-%m-%d") | fields data _time date
06-30-2025 03:00:01.201 INFO  SearchParser [17412 RunDispatch] - PARSING: |rest splunk_server=local /services/admin/auth-services| join type=left splunk_server [|rest splunk_server=local /services/server/info | fields guid, splunk_server] | appendcols [|rest splunk_server=local /servicesNS/nobody/splunk_instrumentation/telemetry | fields telemetrySalt]| eval telemetrySalt=if(isnull(telemetrySalt), "", telemetrySalt), hashHost=sha1(telemetrySalt+splunk_server)| eval data="{\"host\": \""+hashHost+"\",\"guid\": \""+guid+"\", \"authentication method\": \""+active_authmodule+"\",\"mfa type\": " +"\"" + if(mfa_type=="", "none", mfa_type) +"\"}", _time=now(), date=strftime(_time, "%Y-%m-%d") | fields data _time date
06-30-2025 03:00:01.201 INFO  dispatchRunner [17412 RunDispatch] - Executing the Search orchestrator and iterator model (dfs=0).
06-30-2025 03:00:01.204 INFO  SearchOrchestrator [17412 RunDispatch] - SearchOrchestrator getting constructed
06-30-2025 03:00:01.205 INFO  SearchOrchestrator [17412 RunDispatch] -  Initialized the SRI
06-30-2025 03:00:01.207 INFO  SearchFeatureFlags [17412 RunDispatch] - Initializing feature flags from config. feature_seed=1371774481
06-30-2025 03:00:01.207 INFO  SearchFeatureFlags [17412 RunDispatch] - Setting feature_flag=parallelreduce:enablePreview:true
06-30-2025 03:00:01.207 INFO  SearchFeatureFlags [17412 RunDispatch] - Setting feature_flag=search:search_telemetry_file_include_parallel_reduce:false
06-30-2025 03:00:01.207 INFO  SearchFeatureFlags [17412 RunDispatch] - Setting feature_flag=search:search_retry:false
06-30-2025 03:00:01.207 INFO  SearchFeatureFlags [17412 RunDispatch] - Setting feature_flag=parallelreduce:autoAppliedPercentage:false
06-30-2025 03:00:01.207 INFO  SearchFeatureFlags [17412 RunDispatch] - Setting feature_flag=stats:allow_stats_v2:true
06-30-2025 03:00:01.207 INFO  SearchFeatureFlags [17412 RunDispatch] - Setting feature_flag=search_optimization::set_required_fields:stats:false
06-30-2025 03:00:01.207 INFO  SearchOrchestrator [17412 RunDispatch] - Search feature_flags={"v":1,"enabledFeatures":["parallelreduce:enablePreview","stats:allow_stats_v2"],"disabledFeatures":["search:search_telemetry_file_include_parallel_reduce","search:search_retry","parallelreduce:autoAppliedPercentage","search_optimization::set_required_fields:stats"]}
06-30-2025 03:00:01.207 INFO  ISplunkDispatch [17412 RunDispatch] - Not running in splunkd. Bundle replication not triggered.
06-30-2025 03:00:01.216 INFO  SearchOrchestrator [31272 searchOrchestrator] - Initialzing the run time settings for the orchestrator.
06-30-2025 03:00:01.216 INFO  UserManager [31272 searchOrchestrator] - Setting user context: admin
06-30-2025 03:00:01.216 INFO  UserManager [31272 searchOrchestrator] - Free version does not have user services
06-30-2025 03:00:01.216 INFO  UserManager [31272 searchOrchestrator] - Done setting user context: NULL -> NULL
06-30-2025 03:00:01.217 INFO  SearchOrchestrator [31272 searchOrchestrator] - Creating the search DAG.
06-30-2025 03:00:01.217 INFO  SearchParser [31272 searchOrchestrator] - PARSING: |rest splunk_server=local /services/admin/auth-services| join type=left splunk_server [|rest splunk_server=local /services/server/info | fields guid, splunk_server] | appendcols [|rest splunk_server=local /servicesNS/nobody/splunk_instrumentation/telemetry | fields telemetrySalt]| eval telemetrySalt=if(isnull(telemetrySalt), "", telemetrySalt), hashHost=sha1(telemetrySalt+splunk_server)| eval data="{\"host\": \""+hashHost+"\",\"guid\": \""+guid+"\", \"authentication method\": \""+active_authmodule+"\",\"mfa type\": " +"\"" + if(mfa_type=="", "none", mfa_type) +"\"}", _time=now(), date=strftime(_time, "%Y-%m-%d") | fields data _time date
06-30-2025 03:00:01.217 INFO  SearchParser [31272 searchOrchestrator] - PARSING: |rest splunk_server=local /services/server/info | fields guid, splunk_server
06-30-2025 03:00:01.219 INFO  DispatchStorageManagerInfo [31272 searchOrchestrator] - Successfully created new dispatch directory for search job. sid=c336f2c7042f9dde_tmp dispatch_dir=C:\Program Files\Splunk\var\run\splunk\dispatch\c336f2c7042f9dde_tmp
06-30-2025 03:00:01.221 INFO  SearchOperator:rest [31272 searchOrchestrator] - built uri=/services/admin/auth-services?count=0, server=https://127.0.0.1:8089
06-30-2025 03:00:01.221 INFO  SearchParser [31272 searchOrchestrator] - PARSING: prerest splunk_server="BEER-PC01" timeout=60 "/services/admin/auth-services?count=0"
06-30-2025 03:00:01.221 INFO  SearchOperator:rest [31272 searchOrchestrator] - built uri=/services/admin/auth-services?count=0, server=https://127.0.0.1:8089
06-30-2025 03:00:01.222 INFO  DispatchThread [31272 searchOrchestrator] - BatchMode: allowBatchMode: 1, conf(1): 1, timeline/Status buckets(0):0, realtime(0):0, report pipe empty(0):0, reqTimeOrder(0):0, summarize(0):0, statefulStreaming(0):0
06-30-2025 03:00:01.222 INFO  DispatchThread [31272 searchOrchestrator] - required fields list to add to remote search = *
06-30-2025 03:00:01.222 INFO  DispatchCommandProcessor [31272 searchOrchestrator] - summaryHash=2995fa043a748a02 summaryId=D59BE72C-130E-4AB5-91DF-EC18452C6179_splunk_instrumentation_admin_2995fa043a748a02 remoteSearch=prerest  splunk_server="BEER-PC01" timeout=60 "/services/admin/auth-services?count=0"
06-30-2025 03:00:01.222 INFO  DispatchCommandProcessor [31272 searchOrchestrator] - summaryHash=NS1457c9e00ccf38c8 summaryId=D59BE72C-130E-4AB5-91DF-EC18452C6179_splunk_instrumentation_admin_NS1457c9e00ccf38c8 remoteSearch=prerest splunk_server="BEER-PC01" timeout=60 "/services/admin/auth-services?count=0"
06-30-2025 03:00:01.222 INFO  DispatchThread [31272 searchOrchestrator] - Getting summary ID for summaryHash=NS1457c9e00ccf38c8
06-30-2025 03:00:01.250 INFO  DispatchThread [31272 searchOrchestrator] - Did not find a usable summary_id, setting info._summary_mode=none, not modifying input summary_id=D59BE72C-130E-4AB5-91DF-EC18452C6179_splunk_instrumentation_admin_NS1457c9e00ccf38c8
06-30-2025 03:00:01.251 INFO  SearchParser [31272 searchOrchestrator] - PARSING: |rest splunk_server=local /services/admin/auth-services| join type=left splunk_server [|rest splunk_server=local /services/server/info | fields guid, splunk_server] | appendcols [|rest splunk_server=local /servicesNS/nobody/splunk_instrumentation/telemetry | fields telemetrySalt]| eval telemetrySalt=if(isnull(telemetrySalt), "", telemetrySalt), hashHost=sha1(telemetrySalt+splunk_server)| eval data="{\"host\": \""+hashHost+"\",\"guid\": \""+guid+"\", \"authentication method\": \""+active_authmodule+"\",\"mfa type\": " +"\"" + if(mfa_type=="", "none", mfa_type) +"\"}", _time=now(), date=strftime(_time, "%Y-%m-%d") | fields data _time date
