07-06-2025 13:01:06.566 +0300 INFO  SearchTelemetrySingleton - record_search_telemetry=1
07-06-2025 13:01:06.567 +0300 WARN  SearchTelemetrySingleton - Config setting remote_search_telemetry_file_limit=-1114177552 is invalid. Will use 30
07-06-2025 13:01:06.582 +0300 WARN  SearchTelemetrySingleton - Unable to read configuration for index_remote_search_telemetry from limits.conf, defaulting to false
07-06-2025 13:01:06.582 +0300 INFO  SearchTelemetrySingleton - Loaded config settings: telemetry file limit = 500, event size limit = 1000000, component size limit = 10000
07-06-2025 13:01:07.539 +0300 INFO  SearchTelemetry - set search status to success
07-06-2025 13:01:12.808 +0300 INFO  SearchTelemetry - set search status to success
07-06-2025 13:01:16.444 +0300 INFO  SearchTelemetry - set search status to success
07-06-2025 13:01:16.661 +0300 INFO  SearchTelemetrySingleton - Writing search telemetry to search_telemetry.json
07-06-2025 13:01:16.664 +0300 INFO  SearchTelemetry - Component=search_commands length=10272 exceeded max=10000. Truncating component
07-06-2025 13:01:16.665 +0300 INFO  SearchTelemetrySingleton - Copying search_telemetry.json from dispatch dir to var/run/splunk/search_telemetry
07-06-2025 13:01:16.681 +0300 INFO  SearchTelemetrySingleton - Done copying search_telemetry.json to C:\Program Files\Splunk\var\run\splunk\search_telemetry\615650a6bba53cc9_scheduler__nobody_c3BsdW5rX3NlY3VyZV9nYXRld2F5__RMD517c0938212b6a825_at_1751749200_1_search_telemetry.json
