2025-07-06 13:00:36.5676 INFO 	ControlAPIHandler. Close. Error closing handle. Status: CTL_RESULT_ERROR_NOT_INITIALIZED 
2025-07-06 13:00:36.5994 INFO 	ControlAPIHandler. Close. Error closing handle. Status: CTL_RESULT_ERROR_NOT_INITIALIZED 
2025-07-06 13:00:36.5994 INFO 	ControlAPIHandler. Close. Error closing handle. Status: CTL_RESULT_ERROR_NOT_INITIALIZED 
2025-07-06 13:00:42.2935 ERROR 	DriverEscapeBuilder. InvokeDriverEscape could not find Intel Adapter, enable to process escape call: 207 
2025-07-06 13:00:42.2935 INFO 	ControlAPIHandler. Initialize for ControlAPI. Started:  
2025-07-06 13:00:42.2935 INFO 	ControlAPIHandler. Initialize. ctlInit failed 
2025-07-06 13:00:42.2935 ERROR 	DriverEscapeBuilder. InvokeDriverEscape could not find Intel Adapter, enable to process escape call: 100 
2025-07-06 13:00:42.2935 ERROR 	DriverEscapeBuilder. InvokeDriverEscape could not find Intel Adapter, enable to process escape call: 1 
2025-07-06 13:00:42.2935 ERROR 	GraphicsAdapterInfoPayload. GetEscapeInterface: Found no valid driver for intel hardware hardware. 
2025-07-06 13:00:42.2935 ERROR 	DriverEscapeBuilder. InvokeDriverEscape could not find Intel Adapter, enable to process escape call: 5 
2025-07-06 13:00:42.2935 ERROR 	EscapeCallYangra. GetPowerConservationData. Driver Escape Failed. 
2025-07-06 13:00:42.2935 INFO 	PlatformCapability. ALSSensorReadingChangedAsync. Lace is not supported 
2025-07-06 13:00:42.2935 INFO 	PlatformCapability. ALSSensorReadingChangedAsync. Unsupported Platform 
2025-07-06 13:00:43.1591 INFO 	ControlAPIHandler. Close. Error closing handle. Status: CTL_RESULT_ERROR_NOT_INITIALIZED 
2025-07-06 13:20:46.6842 ERROR 	DriverEscapeBuilder. InvokeDriverEscape could not find Intel Adapter, enable to process escape call: 207 
2025-07-06 13:20:46.6918 INFO 	ControlAPIHandler. Initialize for ControlAPI. Started:  
2025-07-06 13:20:46.6918 INFO 	ControlAPIHandler. Initialize. ctlInit failed 
2025-07-06 13:20:46.6918 ERROR 	DriverEscapeBuilder. InvokeDriverEscape could not find Intel Adapter, enable to process escape call: 100 
